Cell,Age group 0,Age group 1,Age group 2,Age group 3,Age group 4,Age group 5,Age group 6,Age group 7,Age group 8,Age group 9,Age group 10,Age group 11,Age group 12,Age group 13,Age group 14,Age group 15,Age group 16
251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,0,0,0,0,1,1,0,1,0,0,2,0,0,0,2,1,2
254,2,0,2,0,3,5,5,12,12,8,4,7,6,8,6,5,7
255,0,0,0,1,1,3,1,1,1,0,1,1,1,2,0,0,1
256,0,0,0,0,1,1,0,0,2,0,2,2,3,1,0,1,0
257,11,9,10,13,29,48,53,57,80,64,58,45,38,32,35,19,55
258,9,5,13,11,32,37,30,26,48,50,33,35,33,20,17,23,28
259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,1,0,1,2,4,0,1,6,4,4,3,4,4,0,2,4,3
263,1,0,0,3,1,1,5,4,1,4,2,5,2,3,3,1,2
264,1,0,0,0,6,6,3,1,3,5,3,4,3,2,0,2,4
265,0,0,1,0,4,2,3,4,8,5,3,4,3,3,3,2,3
266,7,13,8,12,27,31,43,69,69,72,46,45,28,28,31,23,28
267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,6,1,0,11,12,13,11,6,17,11,10,13,9,5,7,3,8
269,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,0,1,0,1,3,0,3,1,0,1,2,1,1,1,0,0,0
276,0,2,2,1,3,6,7,6,15,8,10,14,11,6,5,4,7
277,5,9,9,20,38,32,41,55,71,75,67,48,32,30,30,24,46
278,5,3,3,4,17,14,3,13,22,21,19,22,10,12,11,9,16
279,0,0,0,6,5,9,4,4,5,8,3,8,2,3,1,2,4
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
282,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
283,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0
284,0,0,2,1,4,3,2,1,6,2,4,5,5,0,2,1,1
285,11,9,12,21,52,51,69,74,89,91,91,62,42,58,35,35,64
286,10,11,5,13,29,40,43,49,48,47,44,44,29,24,29,20,32
287,1,2,1,1,9,14,14,15,19,24,17,22,8,6,8,10,9
288,1,2,0,5,7,7,9,19,13,16,14,11,14,2,1,5,5
289,0,0,2,2,3,1,4,2,5,2,3,6,1,5,5,1,0
290,0,0,0,0,1,1,0,0,0,2,0,2,0,1,1,2,0
291,3,1,1,3,12,12,7,14,12,24,18,19,8,4,5,8,20
292,2,3,0,0,7,14,6,7,12,11,5,5,4,6,4,6,7
293,0,0,0,0,3,4,5,4,1,2,1,0,0,5,2,3,3
294,6,10,7,11,39,25,54,62,60,53,36,35,36,27,23,9,36
295,2,1,2,5,16,20,9,16,27,33,20,23,16,9,16,9,4
296,0,0,0,1,1,1,2,0,0,2,2,2,0,3,1,1,0
297,1,0,0,2,6,8,3,5,6,6,4,7,4,4,3,1,3
298,1,0,0,0,1,0,1,1,0,2,1,0,1,1,2,0,1
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,2,0,0,1,0,4,4,3,1,2,1,1,1
301,0,0,0,2,4,4,4,2,1,2,2,3,3,5,0,3,2
302,0,0,0,0,1,0,1,1,0,0,1,3,1,1,1,0,2
303,3,3,5,2,7,8,14,16,22,14,14,7,10,6,7,6,11
304,2,1,2,1,6,8,4,10,11,11,7,11,7,6,7,3,7
305,1,2,2,1,5,9,13,13,5,8,10,3,7,7,4,5,4
306,0,1,0,0,0,2,1,0,1,1,0,2,1,0,0,2,2
307,1,2,1,4,14,16,15,21,32,21,13,29,20,11,8,6,19
308,1,0,0,4,5,6,10,13,18,8,9,7,7,7,6,3,7
309,1,0,0,2,4,2,6,3,5,1,2,6,3,3,2,1,2
310,0,0,1,1,5,8,3,2,7,4,2,7,3,5,5,3,4
311,0,0,0,0,0,0,1,0,0,1,1,1,0,2,2,0,0
312,0,0,0,0,0,1,1,1,3,5,1,2,2,0,0,0,0
313,0,0,2,2,4,9,10,10,10,9,9,7,6,5,10,3,8
314,1,0,5,1,7,5,11,14,14,14,14,14,7,10,3,9,15
315,1,1,0,2,7,6,12,19,15,15,9,15,9,6,11,9,9
316,3,0,0,4,8,8,9,13,10,8,7,6,10,2,2,3,7
317,0,0,0,0,3,1,2,1,0,0,2,1,1,1,1,0,1
318,2,1,1,4,7,7,7,12,12,17,12,4,11,3,6,7,9
319,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
